HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Grenoble,Le Havre,12.0,9.0,3.0,6.0,4.0,1.0,16.0,16.0,2.0,2.0,0.0,0.0,0.0,1.0,A
Guingamp,Dijon,9.0,8.0,6.0,4.0,4.0,3.0,25.0,15.0,3.0,5.0,0.0,0.0,0.0,1.0,H
Paris FC,Bastia,14.0,10.0,6.0,3.0,4.0,4.0,11.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,H
Quevilly Rouen,Nancy,12.0,15.0,3.0,3.0,5.0,6.0,11.0,15.0,2.0,3.0,0.0,1.0,1.0,1.0,H
Rodez,Nimes,13.0,6.0,6.0,0.0,2.0,5.0,11.0,15.0,2.0,2.0,0.0,0.0,1.0,0.0,H
Sochaux,Pau FC,14.0,6.0,6.0,2.0,10.0,3.0,14.0,10.0,1.0,3.0,0.0,1.0,0.0,0.0,H
Auxerre,Caen,10.0,12.0,5.0,3.0,5.0,9.0,7.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,D
Niort,Toulouse,14.0,23.0,5.0,8.0,3.0,7.0,11.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,H
Le Havre,Ajaccio,10.0,5.0,4.0,4.0,3.0,4.0,9.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,A
Amiens,Grenoble,10.0,10.0,7.0,1.0,3.0,1.0,8.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,H
Bastia,Sochaux,11.0,14.0,3.0,4.0,7.0,7.0,15.0,12.0,2.0,1.0,0.0,0.0,2.0,0.0,D
Caen,Guingamp,10.0,13.0,4.0,3.0,5.0,3.0,14.0,22.0,1.0,5.0,0.0,2.0,1.0,0.0,H
Dijon,Niort,13.0,8.0,7.0,2.0,11.0,2.0,21.0,22.0,4.0,3.0,0.0,0.0,0.0,2.0,D
Dunkerque,Auxerre,3.0,10.0,1.0,7.0,1.0,2.0,9.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,A
Nimes,Nancy,12.0,14.0,5.0,6.0,5.0,2.0,20.0,17.0,3.0,3.0,0.0,1.0,2.0,1.0,H
Pau FC,Quevilly Rouen,20.0,9.0,5.0,6.0,6.0,0.0,17.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,A
Valenciennes,Paris FC,11.0,11.0,5.0,8.0,6.0,4.0,19.0,11.0,4.0,2.0,0.0,0.0,0.0,3.0,A
Toulouse,Rodez,13.0,7.0,1.0,0.0,7.0,0.0,23.0,13.0,3.0,3.0,0.0,0.0,1.0,0.0,D
Ajaccio,Grenoble,11.0,3.0,4.0,2.0,3.0,1.0,24.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,H
Auxerre,Le Havre,14.0,9.0,7.0,5.0,7.0,4.0,17.0,12.0,5.0,4.0,1.0,1.0,1.0,2.0,A
Guingamp,Dunkerque,15.0,10.0,5.0,1.0,6.0,1.0,16.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,H
Nancy,Dijon,12.0,13.0,6.0,7.0,4.0,2.0,16.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,A
Nimes,Toulouse,10.0,11.0,5.0,5.0,1.0,3.0,13.0,16.0,4.0,3.0,0.0,0.0,0.0,1.0,A
Niort,Pau FC,10.0,6.0,4.0,1.0,3.0,4.0,10.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,H
Paris FC,Amiens,5.0,12.0,2.0,3.0,3.0,1.0,14.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,H
Quevilly Rouen,Caen,13.0,10.0,5.0,2.0,4.0,3.0,7.0,23.0,1.0,1.0,0.0,1.0,0.0,1.0,D
Rodez,Bastia,5.0,9.0,2.0,3.0,2.0,4.0,13.0,20.0,2.0,3.0,0.0,0.0,0.0,0.0,D
Sochaux,Valenciennes,14.0,6.0,6.0,2.0,6.0,8.0,17.0,18.0,2.0,3.0,0.0,1.0,0.0,1.0,D
Le Havre,Sochaux,9.0,6.0,3.0,2.0,9.0,3.0,9.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,A
Bastia,Quevilly Rouen,15.0,4.0,7.0,1.0,4.0,1.0,13.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,H
Dijon,Nimes,19.0,8.0,3.0,5.0,10.0,7.0,12.0,16.0,3.0,3.0,0.0,1.0,0.0,2.0,A
Grenoble,Auxerre,8.0,11.0,0.0,5.0,3.0,2.0,5.0,11.0,1.0,3.0,0.0,0.0,0.0,1.0,A
Pau FC,Rodez,16.0,9.0,5.0,1.0,6.0,4.0,14.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,H
Valenciennes,Guingamp,6.0,12.0,1.0,3.0,4.0,6.0,17.0,13.0,0.0,3.0,1.0,0.0,1.0,0.0,D
Guingamp,Grenoble,12.0,7.0,3.0,3.0,1.0,5.0,10.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,D
Nancy,Bastia,7.0,8.0,3.0,1.0,10.0,6.0,18.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,H
Rodez,Dijon,17.0,9.0,1.0,5.0,6.0,4.0,19.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,A
Sochaux,Caen,19.0,5.0,7.0,2.0,4.0,1.0,14.0,14.0,7.0,5.0,0.0,1.0,0.0,2.0,H
Toulouse,Pau FC,25.0,7.0,6.0,3.0,10.0,1.0,12.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,D
Paris FC,Le Havre,7.0,17.0,3.0,6.0,5.0,1.0,14.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,D
Amiens,Ajaccio,13.0,8.0,5.0,3.0,6.0,4.0,17.0,14.0,3.0,2.0,0.0,0.0,0.0,1.0,A
