HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Schalke 04,Sandhausen,26,7,9,3,9,2,7,14,1,1,0,0,0,0,H
Holstein Kiel,Werder Bremen,18,17,8,6,5,9,6,10,2,1,0,0,1,0,H
Hamburg,Ingolstadt,21,13,8,5,7,5,10,8,1,0,0,0,2,0,H
Nurnberg,St Pauli,19,13,10,7,6,10,7,10,0,2,0,0,1,2,A
Paderborn,Hansa Rostock,18,10,5,3,6,7,10,9,2,1,0,0,0,1,D
Darmstadt,Fortuna Dusseldorf,20,9,8,3,6,4,20,8,2,1,0,0,0,2,A
Werder Bremen,Erzgebirge Aue,15,9,8,3,6,2,14,16,2,2,0,0,2,0,H
Hansa Rostock,Ingolstadt,21,6,5,3,6,0,15,12,3,2,0,0,0,1,D
Nurnberg,Holstein Kiel,17,15,6,4,6,3,9,6,2,1,0,0,1,0,H
Sandhausen,Paderborn,15,8,4,2,4,1,14,12,3,4,0,0,0,1,D
St Pauli,Schalke 04,15,13,7,5,8,4,9,15,1,2,0,0,2,0,H
Dresden,Karlsruhe,19,9,9,2,5,3,9,14,1,3,0,1,0,0,H
Hannover,Hamburg,7,10,2,3,4,4,11,6,2,2,0,0,1,0,H
Heidenheim,Regensburg,19,10,8,2,4,7,16,9,2,1,0,1,1,0,H
Regensburg,Werder Bremen,17,17,6,6,5,2,15,12,2,2,0,0,1,1,A
Schalke 04,Nurnberg,25,9,8,3,7,3,15,6,2,1,0,0,1,0,H
Holstein Kiel,Sandhausen,19,7,8,2,6,3,5,12,2,5,0,0,1,1,D
Ingolstadt,Hannover,8,13,3,5,2,1,10,14,4,2,0,0,1,2,A
Paderborn,Darmstadt,9,17,2,4,3,8,12,15,2,4,0,0,0,0,A
Fortuna Dusseldorf,St Pauli,7,13,3,7,4,6,11,10,2,1,0,0,0,0,D
Erzgebirge Aue,Dresden,18,10,9,3,5,6,10,14,1,1,0,0,0,0,A
Hamburg,Hansa Rostock,17,13,10,6,10,3,12,12,4,4,0,0,2,0,H
Karlsruhe,Heidenheim,12,19,4,7,5,4,10,16,1,2,0,0,2,1,H
Fortuna Dusseldorf,Sandhausen,14,4,3,1,10,3,10,8,0,0,0,0,0,1,A
Holstein Kiel,St Pauli,22,10,11,3,5,6,13,12,2,4,0,0,3,0,H
Erzgebirge Aue,Nurnberg,19,19,3,8,2,3,9,16,1,2,0,0,1,2,A
Ingolstadt,Dresden,13,5,5,1,6,1,21,14,3,1,0,0,2,0,H
Paderborn,Heidenheim,12,19,3,6,3,11,14,12,3,3,0,0,0,0,A
