HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Hoffenheim,Hertha,30,5,7,2,9,3,8,16,1,0,0,0,1,0,H
Augsburg,Stuttgart,24,14,13,4,9,4,13,6,0,0,0,0,3,0,H
Bayern Munich,Werder Bremen,28,3,7,0,14,3,10,12,0,2,0,1,0,0,H
Leverkusen,Nurnberg,20,5,9,1,11,1,11,7,0,0,0,0,0,0,H
Mainz,Fortuna Dusseldorf,21,17,5,7,3,7,10,14,0,3,0,0,1,1,H
M'gladbach,RB Leipzig,14,14,4,4,2,4,13,14,0,2,0,0,0,1,A
Schalke 04,Hoffenheim,15,11,5,6,6,1,13,15,2,3,0,0,0,2,A
Freiburg,Dortmund,9,10,2,6,5,3,10,6,2,0,0,0,0,1,A
Hertha,Hannover,16,13,3,5,5,8,13,9,4,1,0,0,0,0,D
Wolfsburg,Ein Frankfurt,21,12,8,3,13,6,10,8,2,3,0,0,0,0,D
Augsburg,Leverkusen,8,13,2,7,3,3,11,8,1,0,0,0,1,1,A
Dortmund,Schalke 04,8,8,2,4,2,4,9,18,0,6,2,0,1,2,A
Ein Frankfurt,Hertha,10,10,4,3,2,4,13,15,0,5,0,1,0,0,D
Fortuna Dusseldorf,Werder Bremen,13,18,6,9,4,9,10,13,1,3,0,0,2,1,H
Hannover,Mainz,7,23,3,4,4,7,10,14,2,1,0,0,0,0,H
RB Leipzig,Freiburg,15,14,4,8,5,4,15,15,3,5,0,0,1,0,H
Stuttgart,M'gladbach,13,17,6,4,2,7,18,8,2,1,0,0,0,0,H
Hoffenheim,Wolfsburg,19,22,7,10,9,3,13,9,2,2,0,0,1,1,A
Nurnberg,Bayern Munich,9,18,4,6,5,5,11,8,1,2,0,0,0,0,D
Mainz,RB Leipzig,14,15,6,5,6,4,14,12,1,1,0,0,1,2,D
Bayern Munich,Hannover,27,2,14,1,11,0,9,5,0,3,0,1,2,0,H
Hertha,Stuttgart,11,14,6,1,2,5,13,17,1,1,0,0,2,0,H
M'gladbach,Hoffenheim,10,26,5,9,2,7,10,18,2,4,0,0,0,1,D
Werder Bremen,Dortmund,14,21,4,8,4,8,17,7,2,1,0,0,0,2,D
Wolfsburg,Nurnberg,10,12,4,3,4,5,8,12,0,0,0,0,1,0,H
Freiburg,Fortuna Dusseldorf,9,16,3,3,5,4,12,11,2,3,1,0,1,1,D
Leverkusen,Ein Frankfurt,17,4,11,2,1,4,3,11,0,3,0,0,6,1,H
Schalke 04,Augsburg,14,7,3,3,7,4,4,7,1,0,0,0,0,0,D
Augsburg,Hertha,5,24,3,8,1,9,11,4,0,1,0,0,1,0,A
Dortmund,Fortuna Dusseldorf,15,8,5,3,2,4,11,12,1,0,0,1,1,0,H
Hannover,Freiburg,18,5,6,1,5,3,15,12,0,2,0,0,1,0,H
Hoffenheim,Werder Bremen,19,11,3,6,1,4,16,10,3,4,0,0,0,1,A
Leverkusen,Schalke 04,18,8,5,3,4,4,10,10,2,1,0,0,1,0,D
Nurnberg,M'gladbach,12,16,2,5,1,5,4,14,0,2,0,0,0,0,A
RB Leipzig,Bayern Munich,10,11,3,5,1,6,11,9,0,2,0,0,0,0,D
Stuttgart,Wolfsburg,11,8,4,2,4,3,14,10,1,2,0,0,1,0,H
Ein Frankfurt,Mainz,13,15,4,4,9,6,10,20,1,1,0,0,0,0,A
Bayern Munich,Ein Frankfurt,23,6,14,2,5,3,7,13,2,2,0,0,1,0,H
Fortuna Dusseldorf,Hannover,15,14,7,3,2,7,13,9,2,1,0,0,0,0,H
Freiburg,Nurnberg,18,14,8,5,4,2,15,9,2,1,0,0,2,0,H
Hertha,Leverkusen,9,13,4,8,4,3,10,14,1,1,0,0,1,2,A
Mainz,Hoffenheim,22,19,12,7,8,5,17,9,2,4,0,1,0,2,H
M'gladbach,Dortmund,7,12,0,3,2,2,8,6,1,1,0,0,0,1,A
Schalke 04,Stuttgart,12,16,3,8,7,5,10,8,0,1,0,0,0,0,D
Werder Bremen,RB Leipzig,6,10,3,3,3,9,16,12,2,2,0,0,1,0,H
Wolfsburg,Augsburg,18,12,10,4,6,5,5,11,0,2,0,0,3,0,H
Bayern Munich,Hertha,17,6,7,3,12,0,6,17,3,3,0,0,1,2,D
Dortmund,Augsburg,23,5,10,1,10,0,8,6,0,0,0,0,1,1,H
