HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ath Madrid,Valladolid,15,6,4,2,10,1,14,12,4,2,0,0,0,0,H
Celta,Alaves,15,4,10,2,7,4,14,10,1,1,0,1,4,0,H
Valencia,Osasuna,7,13,3,3,1,7,7,19,1,2,0,0,2,0,H
Sociedad,Real Madrid,10,10,2,6,4,1,16,15,4,2,0,0,0,0,A
Villarreal,Sevilla,7,14,5,6,3,8,16,12,3,3,0,0,2,1,D
Leganes,Granada,9,4,3,1,4,2,12,16,4,4,0,0,0,0,D
Levante,Ath Madrid,12,12,0,7,10,4,12,14,4,2,0,0,0,1,A
Valladolid,Getafe,6,15,2,1,7,8,12,19,5,2,0,0,1,1,D
Barcelona,Ath Bilbao,18,6,4,0,6,2,10,16,2,1,0,0,0,0,H
Alaves,Osasuna,5,7,0,1,7,3,12,14,2,3,0,0,0,0,A
Sociedad,Celta,13,4,6,1,7,3,18,15,4,2,0,0,0,1,A
Real Madrid,Mallorca,14,11,6,4,5,4,18,12,4,1,0,0,1,0,H
Eibar,Valencia,14,7,5,0,10,8,12,7,4,2,0,1,1,0,H
Betis,Espanol,13,9,6,2,6,5,18,18,4,4,0,0,0,0,H
Sevilla,Valladolid,15,11,3,5,5,1,16,17,3,2,0,0,0,1,D
Ath Bilbao,Mallorca,12,14,6,2,1,8,17,16,1,2,0,0,2,0,H
Celta,Barcelona,10,18,6,2,3,8,19,10,3,4,0,0,0,1,D
Osasuna,Leganes,6,21,5,7,2,4,12,15,1,1,0,0,1,0,H
Ath Madrid,Alaves,14,6,4,2,3,1,13,14,3,2,0,0,0,0,H
Levante,Betis,9,17,4,8,2,5,13,14,0,4,0,0,2,0,H
Villarreal,Valencia,17,4,4,0,1,4,9,18,0,2,0,0,2,0,H
Granada,Eibar,14,13,5,6,8,5,8,13,1,0,0,0,0,1,A
Espanol,Real Madrid,8,14,5,6,0,5,18,12,1,1,0,0,0,1,A
Getafe,Sociedad,11,5,4,1,5,4,22,11,6,3,0,0,1,0,H
Mallorca,Celta,9,12,7,8,2,11,16,12,3,2,0,0,3,0,H
Leganes,Sevilla,9,11,3,6,4,2,23,10,4,3,0,0,0,2,A
Barcelona,Ath Madrid,12,10,5,3,3,1,11,15,3,5,0,0,1,1,D
Alaves,Granada,11,7,4,4,6,2,18,17,3,2,0,0,0,1,A
Valencia,Ath Bilbao,10,12,1,4,3,5,9,12,1,0,0,0,0,1,A
Betis,Villarreal,9,15,1,6,1,5,10,16,4,1,1,0,0,2,A
Valladolid,Levante,15,8,4,3,8,3,10,12,2,1,0,0,0,0,D
Eibar,Osasuna,11,9,4,6,9,4,8,12,1,1,0,0,0,1,A
Sociedad,Espanol,12,4,4,3,4,3,11,15,2,1,0,0,0,1,H
Real Madrid,Getafe,8,10,4,3,6,5,15,22,5,5,0,0,0,0,H
Ath Madrid,Mallorca,15,13,3,1,4,5,14,11,2,1,0,0,2,0,H
Celta,Betis,5,10,1,3,2,8,20,18,5,4,0,0,1,0,D
Valladolid,Alaves,5,7,3,0,1,3,13,17,0,0,0,0,0,0,H
