HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Parma,Inter,6,13,2,7,2,10,17,12,2,2,0,0,0,0,A
Atalanta,Spal,8,5,5,3,9,4,14,12,1,3,0,0,0,1,H
Bologna,Genoa,7,9,4,6,13,3,17,13,2,2,0,0,1,1,D
Milan,Cagliari,17,7,10,3,2,5,12,11,0,1,0,0,2,0,H
Sampdoria,Frosinone,11,3,7,1,9,2,10,21,3,3,0,0,0,1,A
Sassuolo,Juventus,9,10,2,5,8,4,17,8,0,0,0,0,0,1,A
Torino,Udinese,12,10,7,6,9,2,21,21,2,4,0,1,1,0,H
Juventus,Frosinone,11,7,8,1,5,7,13,19,2,3,0,0,2,0,H
Atalanta,Milan,12,6,5,3,5,2,10,9,1,2,0,0,1,1,A
Cagliari,Parma,12,6,3,3,1,4,21,11,5,1,1,0,0,1,H
Empoli,Sassuolo,7,5,6,2,3,3,11,10,1,3,0,0,2,0,H
Genoa,Lazio,14,6,6,6,7,3,12,12,3,2,0,0,0,1,H
Inter,Sampdoria,14,6,7,2,9,5,10,11,3,1,0,0,0,0,H
Napoli,Torino,20,6,10,1,15,4,18,13,5,3,0,0,0,0,D
Spal,Fiorentina,6,15,4,9,3,10,14,14,3,4,0,0,1,1,A
Udinese,Chievo,11,13,7,9,6,4,11,21,5,4,0,0,0,0,H
Roma,Bologna,9,14,4,10,9,7,15,15,3,4,0,0,0,0,H
Milan,Empoli,10,4,7,1,6,2,13,9,1,1,0,0,0,0,H
Frosinone,Roma,9,7,5,5,4,8,18,11,2,2,0,0,1,2,A
Torino,Atalanta,11,9,7,4,4,4,17,18,2,1,0,0,1,0,H
Bologna,Juventus,13,5,4,4,4,5,12,17,2,2,0,0,0,0,A
Chievo,Genoa,8,6,5,2,4,6,20,22,2,3,0,0,0,0,D
Fiorentina,Inter,10,7,2,6,9,6,13,15,2,4,0,0,1,2,D
Parma,Napoli,8,14,2,5,5,2,13,7,2,1,0,0,0,2,A
Sampdoria,Cagliari,9,8,6,1,3,5,9,17,1,2,0,0,0,0,H
Sassuolo,Spal,6,5,2,3,3,5,18,14,4,1,1,0,1,0,D
Cagliari,Inter,12,19,5,7,1,5,12,8,5,3,0,0,2,1,H
Empoli,Parma,13,7,9,7,8,2,10,17,1,3,0,0,1,2,D
Lazio,Roma,6,7,4,3,5,7,13,15,4,5,0,1,1,0,H
Milan,Sassuolo,7,11,4,6,6,6,20,9,3,0,0,1,1,0,H
Atalanta,Fiorentina,17,7,10,4,8,5,9,16,4,2,0,0,2,1,H
Genoa,Frosinone,10,3,6,0,8,2,15,16,2,4,0,1,0,0,D
Napoli,Juventus,13,4,5,3,12,4,10,14,3,6,1,1,0,2,A
Spal,Sampdoria,8,14,2,10,5,4,10,14,2,3,1,0,0,2,A
Torino,Chievo,9,9,6,5,7,4,10,18,1,4,0,0,0,0,H
Udinese,Bologna,11,11,6,9,6,6,21,20,3,3,0,0,1,1,H
Juventus,Udinese,15,4,6,2,5,0,7,9,0,3,0,0,2,0,H
Chievo,Milan,5,9,1,3,4,1,20,13,3,1,0,0,1,1,A
Parma,Genoa,8,8,4,1,4,5,12,12,2,1,0,0,0,0,H
Bologna,Cagliari,17,7,8,6,8,3,16,21,0,0,0,0,1,0,H
Fiorentina,Lazio,7,7,1,6,4,7,8,14,3,1,0,0,0,1,D
Frosinone,Torino,9,10,5,7,3,3,14,21,2,4,0,0,1,0,A
Inter,Spal,10,2,4,1,4,7,17,17,3,5,0,0,0,0,H
Sampdoria,Atalanta,11,13,6,6,4,7,13,10,2,2,0,0,0,0,A
Sassuolo,Napoli,7,9,1,4,3,5,11,10,3,2,0,0,0,0,D
Roma,Empoli,7,4,2,2,5,3,12,9,4,1,1,0,2,1,H
Cagliari,Fiorentina,10,6,6,4,4,4,22,13,3,2,0,0,0,0,H
Sassuolo,Sampdoria,12,17,5,11,6,5,9,12,1,1,0,0,1,3,A
Spal,Roma,10,10,6,5,3,5,12,19,4,5,0,0,1,0,H
Torino,Bologna,16,8,7,6,4,5,15,16,5,4,1,1,1,2,A
Atalanta,Chievo,11,6,6,3,10,1,12,24,0,0,0,0,0,1,D
Empoli,Frosinone,8,9,5,3,2,2,16,15,4,2,0,0,2,0,H
Genoa,Juventus,10,3,5,0,6,6,12,11,2,3,0,0,0,0,H
Lazio,Parma,14,4,8,2,6,5,10,10,0,2,0,0,4,0,H
Milan,Inter,9,10,7,6,7,4,19,11,4,3,0,0,0,1,A
Napoli,Udinese,13,8,5,3,5,2,4,7,1,1,0,0,2,2,H
Chievo,Cagliari,10,9,8,3,5,5,13,15,6,3,1,0,0,3,A
Juventus,Empoli,14,3,6,0,5,4,16,11,0,0,0,0,0,0,H
